Voltage, Current, Resistance, Temperature
0, 0.000, 96970, 24.5,
1, 0.125, 93100, 24.5,
2, 0.257, 88240, 25.5,
2, 0.257, 83660, 26.5,
2, 0.257, 80820, 27.0,
2, 0.257, 79580, 27.5,
3, 0.387, 68710, 29.8,
3, 0.387, 65980, 30.5,
3, 0.386, 63240, 31.5,
3, 0.386, 58850, 32.4,
4, 0.517, 52190, 34.5,
4, 0.517, 49380, 35.5,
4, 0.517, 44690, 38.0,
4, 0.517, 41740, 39.5,
5, 0.644, 34740, 42.5,
5, 0.644, 31140, 44.5,
5, 0.644, 28430, 46.0,
5, 0.644, 23450, 48.5,
5, 0.644, 19930, 51.5,
5, 0.644, 19780, 52.5,
6, 0.769, 19620, 57.0,
6, 0.769, 16630, 58.6,
6, 0.769, 14840, 62.0,
7, 0.896, 13210, 63.5,
7, 0.896, 13210, 69.0,
7, 0.896, 9006, 71.5,
7, 0.896, 7721, 76.5,
7, 0.896, 6691, 84.5,
8, 1.022, 6129, 86.6,
8, 1.022, 5159, 90.5,
8, 1.020, 4898, 93.0,
8, 1.020, 4069, 101.0,
8, 1.019, 3827, 103.5,
9, 1.146, 3132, 104.5, 
9, 1.144, 2014, 122.5,
10, 1.269, 1747, 126.5,
10, 1.269, 1381, 132.5,
10, 1.268, 1252, 136.5,
10, 1.268, 1161, 141.5,
10, 1.267, 1067, 144.5,
11, 1.391, 920.3, 145.5,
11, 1.391, 920.3, 148.5,
11, 1.391, 754.8, 151.5,
11, 1.391, 711.4, 158.5,
12, 1.513, 535.2, 170.0,
12, 1.513, 461.6, 176.5,
12, 1.512, 414.7, 183.5,
12, 1.511, 365.8, 187.0,
12, 1.510, 340.8, 189.5,
12, 1.510, 288.2, 193.5,
13, 1.630, 215.8, 209.5,
13, 1.630, 195.5, 221.5,
13, 1.630, 171.8, 224.5,
14, 1.748, 151.6, 231.5,
14, 1.744, 129.0, 240.0,
14, 1.742, 123.0, 248.0,
15, 1.862, 93.7, 273.0,
16, 1.983, 78.6, 282.5,
16, 1.983, 62.8, 299.5,
18, 2.217, 40.2, 323.0,




